breeder,enrichment,x_cm,y_cm,z_cm,flux,flux_std_dev
pbli,90,35.0,-25.0,-14.5,0.0005936509537912141,4.065059765164981e-06
pbli,90,37.0,-25.0,-14.5,0.0005487808231128203,3.833841163540789e-06
pbli,90,39.0,-25.0,-14.5,0.00047513704926499116,3.7476625195482978e-06
pbli,90,-39.0,-23.0,-14.5,0.0004926928769061526,3.883539136588723e-06
pbli,90,-37.0,-23.0,-14.5,0.000554722471898539,3.6923611603965335e-06
pbli,90,-35.0,-23.0,-14.5,0.0006024327349267881,3.859675839801776e-06
pbli,90,-33.0,-23.0,-14.5,0.000642925561275291,4.470332240064071e-06
pbli,90,-31.0,-23.0,-14.5,0.0006721898216930774,4.784013713101903e-06
pbli,90,-29.0,-23.0,-14.5,0.0007064797907459365,4.381159112176274e-06
pbli,90,-27.0,-23.0,-14.5,0.0007254993035331601,4.549859664562166e-06
pbli,90,-25.0,-23.0,-14.5,0.0007486848320516561,4.761986888712196e-06
pbli,90,-23.0,-23.0,-14.5,0.000766934762355266,4.5347620963307875e-06
