breeder,enrichment,x_cm,y_cm,z_cm,flux,flux_std_dev
pbli,90,-13.0,-27.0,-14.5,0.0007779611771829897,5.389109868071035e-06
pbli,90,-11.0,-27.0,-14.5,0.00078232983421751,4.300255949053949e-06
pbli,90,-9.0,-27.0,-14.5,0.0007896557926894353,5.00401333516359e-06
pbli,90,-7.0,-27.0,-14.5,0.0007854923771361202,4.652438031204799e-06
pbli,90,-5.0,-27.0,-14.5,0.0007873668398060793,4.166956757981709e-06
pbli,90,-3.0,-27.0,-14.5,0.0007885079511758456,5.112417259209722e-06
pbli,90,-1.0,-27.0,-14.5,0.000805899102595653,4.637965783965349e-06
pbli,90,1.0,-27.0,-14.5,0.0007973132799535384,4.828481548863619e-06
pbli,90,3.0,-27.0,-14.5,0.0007943180915638298,4.7776195630117845e-06
pbli,90,5.0,-27.0,-14.5,0.0007865636752939724,4.905268433194907e-06
pbli,90,7.0,-27.0,-14.5,0.0007931032286853975,5.017878851108819e-06
pbli,90,9.0,-27.0,-14.5,0.0007947427655308324,5.020667394542737e-06
pbli,90,11.0,-27.0,-14.5,0.000779163583986959,4.784796487987934e-06
pbli,90,13.0,-27.0,-14.5,0.0007783677421510123,4.321128760167216e-06
pbli,90,15.0,-27.0,-14.5,0.0007686657702199618,4.544135588981797e-06
pbli,90,17.0,-27.0,-14.5,0.000759181177477502,4.906203315568077e-06
pbli,90,19.0,-27.0,-14.5,0.0007516991066003433,4.616076353295436e-06
pbli,90,21.0,-27.0,-14.5,0.0007410221222062308,4.6175916455167084e-06
pbli,90,23.0,-27.0,-14.5,0.0007238761607188747,4.539671851914551e-06
pbli,90,25.0,-27.0,-14.5,0.0007063788677012568,4.827340007611033e-06
pbli,90,27.0,-27.0,-14.5,0.0006922648481941779,4.401371650232167e-06
pbli,90,29.0,-27.0,-14.5,0.0006751897184068046,4.265729351782349e-06
pbli,90,31.0,-27.0,-14.5,0.0006506181172089846,4.732526052388616e-06
pbli,90,33.0,-27.0,-14.5,0.0006059733757254116,4.452855086081973e-06
pbli,90,35.0,-27.0,-14.5,0.0005712646955107638,4.060314680503023e-06
pbli,90,37.0,-27.0,-14.5,0.0005328306536077208,3.6286840808830856e-06
pbli,90,39.0,-27.0,-14.5,0.0004619131532185405,3.5136225194187733e-06
pbli,90,-39.0,-25.0,-14.5,0.0004838885513492592,3.724017205802366e-06
pbli,90,-37.0,-25.0,-14.5,0.0005446133571872149,4.3367972961674974e-06
pbli,90,-35.0,-25.0,-14.5,0.0005944000918678184,4.694351802937295e-06
pbli,90,-33.0,-25.0,-14.5,0.0006331801064357714,4.2330098548313005e-06
pbli,90,-31.0,-25.0,-14.5,0.0006608876156468632,4.464696034101251e-06
pbli,90,-29.0,-25.0,-14.5,0.0006911148412852349,4.244006120562764e-06
pbli,90,-27.0,-25.0,-14.5,0.000717138630458522,4.447795215327791e-06
pbli,90,-25.0,-25.0,-14.5,0.0007290232077071083,5.1058773260825245e-06
